profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
0,0.27,2,8,0,45,0,0,392,727659,156,0
0,0.41,2,8,1,116,0,0,852,440552,398,0
1,0.48,2,4,1,117,0,1,224,286193,446,1
0,0.39,3,2,1,42,0,1,606,591807,678,0
0,0.64,1,7,0,22,1,1,335,221941,465,1
1,0.76,3,4,1,74,0,1,19,785408,552,0
1,0.22,0,10,0,17,0,0,859,21369,636,0
0,0.13,0,9,0,129,1,1,171,635324,621,0
0,0.96,0,9,0,89,1,1,964,749747,203,0
0,0.1,2,10,0,154,0,1,545,449186,677,1
0,0.51,2,0,1,135,0,1,983,379781,650,1
0,0.44,2,9,1,129,1,1,330,893085,251,0
1,0.88,1,7,1,96,0,1,871,340802,186,1
0,0.35,2,5,1,162,1,0,529,994115,195,0
0,0.72,3,8,0,186,1,1,458,831450,17,0
1,0.22,1,4,1,131,1,1,763,577124,338,1
1,0.27,2,3,0,194,0,1,122,778967,548,0
0,0.22,3,4,1,35,0,1,232,378411,183,1
0,0.71,1,4,0,23,1,0,653,910647,770,1
0,0.87,2,7,1,122,1,0,988,53872,258,1
0,0.82,3,7,0,157,0,0,152,850544,576,1
0,0.99,0,8,1,165,0,1,461,952635,453,1
1,0.31,0,9,0,63,0,1,676,85131,160,0
0,0.55,1,0,1,125,1,1,33,242720,295,1
1,0.07,1,4,0,118,0,0,663,156226,930,1
0,0.07,1,4,1,122,0,1,705,318862,716,1
1,0.5,3,7,0,163,0,1,752,337978,618,1
0,0.09,0,10,1,157,0,0,481,544173,667,1
1,0.18,3,10,1,33,1,1,418,349499,328,0
0,0.33,3,4,1,150,0,1,90,329795,258,1
0,0.97,3,8,0,178,1,1,55,196694,530,1
1,0.63,0,3,1,150,0,1,448,923634,715,1
0,0.03,1,2,1,151,0,1,95,235615,861,0
1,0.95,1,7,1,140,1,1,854,505937,483,0
1,0.55,3,3,0,27,1,1,348,979630,806,1
0,0.28,2,9,1,48,1,1,353,348588,565,1
1,0.93,1,3,1,69,1,0,325,780879,484,1
1,0.99,1,7,0,42,1,0,895,886088,450,0
1,0.02,1,6,0,29,1,1,346,653534,709,1
0,0.85,3,5,1,148,0,0,240,661820,700,1
0,0.75,3,1,0,123,0,1,925,30353,47,1
0,0.29,2,6,0,72,1,0,174,183573,80,1
0,0.5,1,3,1,173,1,1,261,699233,9,1
1,0.68,1,1,1,98,1,1,706,262246,467,1
0,1.0,3,1,0,107,1,1,716,309571,22,1
1,0.01,0,9,1,83,0,1,224,667542,194,1
0,0.63,0,4,1,18,1,0,92,953813,302,1
1,0.18,1,8,1,145,1,0,263,958449,844,1
1,0.75,2,1,1,29,0,0,880,709176,741,1
1,0.09,3,0,1,147,0,1,377,705511,766,1
1,0.82,2,1,0,130,0,1,937,639717,226,0
1,0.91,2,10,1,39,0,0,968,39019,311,1
0,0.1,1,6,1,104,1,0,906,435037,670,0
1,0.62,2,0,1,65,1,1,973,247582,875,1
0,0.98,2,8,1,25,1,1,194,128093,971,1
0,0.66,0,0,1,72,0,0,70,870127,783,0
0,0.81,1,5,0,162,0,1,879,151716,133,1
0,0.11,0,2,0,101,0,1,16,182710,271,0
0,0.74,0,1,1,124,1,0,462,528313,226,0
1,0.46,0,0,1,112,1,0,502,747006,931,1
0,0.9,2,9,0,26,0,1,639,663829,599,1
1,0.99,2,7,1,35,0,0,440,473489,909,0
1,0.34,3,6,1,196,0,1,437,327704,681,1
1,0.95,3,1,0,31,0,1,98,780758,756,1
0,0.56,2,10,0,115,1,1,888,960331,738,0
1,0.6,2,1,0,49,1,0,867,113475,358,1
0,0.76,1,6,0,165,1,0,184,286544,719,1
1,0.35,1,2,1,27,0,0,93,782354,543,0
1,0.42,2,2,1,89,1,0,904,55164,159,0
0,0.67,2,7,1,134,1,1,279,226040,773,0
1,0.43,2,10,1,144,1,0,225,414463,613,0
0,0.2,1,2,1,84,1,0,7,521546,764,1
0,0.13,1,8,1,28,1,0,446,19651,470,0
1,0.58,3,10,1,84,0,1,21,340544,175,1
1,0.09,0,3,1,160,1,0,405,912811,317,1
0,0.33,1,1,0,145,0,1,359,762712,981,0
0,0.1,2,3,0,164,0,0,181,997502,791,1
1,0.75,3,10,1,170,1,0,450,71603,480,1
1,0.8,0,5,0,89,1,1,38,59653,377,1
0,0.64,0,9,1,128,0,1,930,849153,585,0
1,0.61,1,0,1,36,1,0,516,677513,176,0
0,0.71,3,8,0,103,1,1,396,428625,793,1
0,0.79,2,1,1,34,1,1,258,758889,872,0
1,0.08,1,5,1,177,1,0,609,743266,960,0
1,0.56,2,2,0,175,1,1,18,380211,316,0
0,0.34,3,3,0,45,0,0,302,885447,807,0
0,0.66,1,9,1,49,0,0,851,726501,789,0
1,0.04,2,10,0,123,1,1,239,559951,244,1
1,0.9,1,5,1,128,1,1,514,553081,428,0
0,0.8,1,4,0,174,1,1,567,979677,105,0
1,0.08,1,4,1,141,0,1,93,992386,932,0
1,0.88,0,6,0,111,1,0,395,85569,383,0
0,0.32,0,10,1,47,0,0,293,961959,849,1
0,0.76,3,7,0,30,0,1,220,875522,153,1
0,0.78,1,4,0,22,0,1,654,832463,637,1
0,0.11,3,9,0,171,0,0,298,450089,1,1
0,0.57,1,10,0,144,1,0,976,551613,557,0
1,0.87,0,10,1,105,1,0,365,826823,69,1
0,0.73,0,9,1,44,0,1,559,354992,833,0
1,0.98,3,10,0,44,0,1,37,307696,206,0
0,0.89,2,4,1,149,1,1,37,789882,662,0
1,0.36,0,10,1,79,0,1,447,932694,409,1
1,0.34,1,7,1,104,1,0,744,445120,80,1
0,0.55,2,1,0,93,1,1,456,631894,734,1
0,0.69,2,7,0,196,1,1,281,670532,810,0
0,0.67,3,5,0,17,0,1,35,132361,68,0
1,0.36,0,9,0,183,1,1,380,465504,781,0
0,0.53,3,5,1,73,0,0,753,195085,511,1
0,0.26,2,7,0,166,1,1,204,128594,138,0
1,0.17,3,1,1,180,1,0,563,568507,297,1
0,0.71,1,5,0,41,0,0,242,828766,505,0
1,0.55,2,7,0,166,0,0,316,417500,734,1
1,0.77,0,2,1,174,0,1,477,713145,529,1
0,0.88,1,2,1,138,0,0,530,160448,311,0
0,0.32,1,5,1,30,1,0,650,577599,281,0
1,0.61,0,8,0,161,0,0,674,654813,737,1
0,0.83,0,1,0,174,1,0,785,599929,426,0
1,0.89,2,10,1,133,0,1,304,475575,74,0
0,0.44,3,7,0,97,0,1,882,753258,326,1
1,0.13,2,8,0,91,0,1,125,280464,460,0
0,0.1,2,6,1,73,0,1,956,605748,738,1
0,0.76,3,8,1,137,1,1,23,94423,967,1
1,0.97,1,9,1,22,0,1,506,626543,903,1
1,0.54,0,6,0,77,1,1,374,47440,410,0
0,0.36,2,1,1,139,1,1,845,653516,696,0
0,0.98,3,5,1,152,1,0,203,631728,521,1
0,0.05,1,5,1,142,1,0,620,936516,527,0
1,0.93,2,2,1,167,1,1,519,868524,521,1
1,0.47,0,5,1,182,0,1,597,322623,815,0
1,0.27,1,0,1,53,1,0,841,713793,248,0
0,0.19,3,5,1,48,1,0,420,526195,793,1
0,0.71,1,8,1,179,1,1,321,181594,470,1
1,0.68,2,9,1,59,0,1,571,312999,230,1
1,0.7,3,5,1,99,1,1,124,601334,692,1
1,0.82,1,4,0,83,0,1,946,463864,671,1
1,0.21,2,8,1,45,0,0,248,53231,685,0
0,0.05,3,5,1,35,0,0,987,577086,951,0
1,0.65,3,7,0,83,1,1,661,62036,929,0
0,0.54,0,2,1,55,0,1,806,519447,190,1
0,0.01,0,5,1,126,1,0,871,528705,479,1
0,0.81,2,2,1,175,1,0,14,772399,345,1
0,0.18,3,6,1,32,1,0,189,147442,488,1
0,0.01,3,3,1,78,1,1,596,757997,586,0
1,0.65,1,0,0,129,1,0,415,719400,514,1
0,0.64,2,5,0,66,0,1,156,477079,765,1
1,0.7,3,8,0,73,0,1,540,737952,370,0
0,0.06,1,9,0,52,1,1,119,713341,210,1
0,0.9,3,0,1,43,1,1,577,60541,572,1
1,0.72,3,4,0,200,0,0,46,444278,352,0
0,0.93,0,7,0,83,1,0,787,142007,784,1
1,0.99,3,7,1,106,0,0,669,902075,356,0
0,0.99,3,8,0,196,0,0,774,23839,305,1
1,0.53,1,3,1,98,0,1,193,982946,896,0
0,0.81,3,9,0,71,0,0,103,622795,34,1
